Category,Linnean Name,English Name,Most Recent Date,Notes
Coleoptera (beetles):,Paradromius linearis,,2015-03-31,UV
"Hymenoptera (Ants, Wasps & Bees):",Lasioglossum parvulum,a Mining bee,2015-03-17,
Coleoptera (beetles):,Agathidium varians,,2014-10-26,Feeds on tree fungi & slims moulds. Lives in leaf litter.
Coleoptera (beetles):,Omonadus floralis,,2014-10-26,
Coleoptera (beetles):,Stricticollis tobias,(Ant-like Flower Beetle),2014-10-26,UV  HERTS RARE. (No other Herts records) NOT EVALUATED NATIONALLY
Trichoptera (Caddis Flies):,Anabolia nervosa,Brown Sedge,2014-10-18,UV
Coleoptera (beetles):,Pogonocheris hispidus,Lesser thorn-tipped longhorn,2014-10-14,UV
Coleoptera (beetles):,Cartodere nodifer,,2014-10-09,UV
Coleoptera (beetles):,Latridius assimilis,,2014-08-15,UV  One of only 2 Herts records
Coleoptera (beetles):,Cryptophagus laticollis,,2014-08-06,UV  One of only 8 Herts records ever
Coleoptera (beetles):,Cryptophagus pubescens,,2014-08-06,UV Also one of only 8 Herts records ever
Coleoptera (beetles):,Amara apricaria,,2014-08-03,in UV trap
Coleoptera (beetles):,Hallomenus binotatus,Monks Wood Beetle,2014-08-03,"Sole Herts. locality.  NATIONALLY SCARCE, formerly Nb.  Feeds on fungi on wood; species of Old woodland."
Coleoptera (beetles):,Helochares punctatus,,2014-08-03,UV  NATIONALLY SCARCE
"Hymenoptera (Ants, Wasps & Bees):",Crossocerus megacephalus,a Digger Wasp,2014-07-28,"♀ UV. Found in fallen trees, eats Diptera"
Coleoptera (beetles):,Hydrobius fuscipes,(Water beetle),2014-07-25,
Coleoptera (beetles):,Berosus affinis,,2014-07-23,UV  HERTS RARE
Coleoptera (beetles):,Thalycra fervida,,2014-07-22,UV  NATIONALLY NOTABLE Nb.  ONLY HERTS RECORD
Coleoptera (beetles):,Rhagonycha fulva,Bloodsucker,2014-07-18,"Insect predator, also eats pollen"
Diptera (Flies):,Episyrphus balteatus,Marmalade Hoverfly,2014-07-15,"Common, migratory.  At Leasey Bridge 1979"
Coleoptera (beetles):,Oedemera nobilis,Swollen-thighed beetle,2014-07-09,"A flower beetle, feeds on pollen"
Coleoptera (beetles):,Ptinus fur,White-marked Spider-beetle,2014-07-09,
Hemiptera (Bugs):,Psyllopsis fraxini,,2014-07-01,
Coleoptera (beetles):,Otiorhynchus sulcatus,Vine Weevil,2014-06-28,Parthenogenetic.
Diptera (Flies):,Chrysotoxum bicinctum,a Hoverfly,2014-06-27,Widespread in Herts.
"Hymenoptera (Ants, Wasps & Bees):",Athalia liberta,A Sawfly,2014-06-27,Uncommon but widespread on garlic mustard &c
Coleoptera (beetles):,Cantharis nigra,Soldier beetle,2014-06-23,
"Hymenoptera (Ants, Wasps & Bees):",Chrysis ignita agg.,Ruby tailed wasp,2014-06-15,
Coleoptera (beetles):,Attagenus pellio,Fur beetle,2014-06-14,"(larva).  Lives on furs, skins etc."
Coleoptera (beetles):,Cantharis rufa,Soldier Beetle,2014-06-09,
"Hymenoptera (Ants, Wasps & Bees):",Tenthredopsis litterata,a Sawfly,2014-06-08,"Common.  Larvae on grasses, notably Cock's-foot"
Diptera (Flies):,Pipizella viduata,a Hoverfly,2014-06-07,"Relatively common, but elusive"
"Hymenoptera (Ants, Wasps & Bees):",Andrena semilaevis,Shiny-margined mini-mining bee,2014-06-06,Found in open woods and grassland
Coleoptera (beetles):,Nebria brevicollis,,2014-06-01,
Hemiptera (Bugs):,Deraeocoris flavilinea,a mirid bug,2014-05-31,
Coleoptera (beetles):,Agriotes sputator,(click beetle),2014-05-28,
Coleoptera (beetles):,Cortinicara gibbosa,,2014-05-28,UV
Coleoptera (beetles):,Grammoptera ruficornis,Common Grammoptera Beetle,2014-05-28,UV
Coleoptera (beetles):,Cis boleti,,2014-05-25,Lives in wood fungus
"Hymenoptera (Ants, Wasps & Bees):",Athalia rosae,Turnip Sawfly,2014-05-15,Common and widespread. Larva feeds on crucifers
Coleoptera (beetles):,Agriotes obscurus,Wire-worm Click Beetle,2014-05-14,One of the common wireworm beetles
"Hymenoptera (Ants, Wasps & Bees):",Bombus hortorum,Small Garden Humble-bee,2014-05-10,"UV. Important pollinator, longest tongue of all bees"
Coleoptera (beetles):,Dasytes aeratus,(Soft-winged Flower beetle),2014-05-09,Larvae breed in dead wood
"Hymenoptera (Ants, Wasps & Bees):",Bombus pascuorum,Carder Bee,2014-05-04,"Very common, frequents flowers"
"Hymenoptera (Ants, Wasps & Bees):",Lasioglossum albipes,a Mining bee,2014-05-04,May
Coleoptera (beetles):,Aphthona euphorbiae,Large Flax Flea Beetle,2014-05-04,Root-feeding.
"Hymenoptera (Ants, Wasps & Bees):",Allantus cinctus,Curled or banded rose Sawfly,2014-05-03,Larva feeds on rose. Very active in bright sunlight
"Hymenoptera (Ants, Wasps & Bees):",Nomada ruficornis,Red-horned Nomad Bee,2014-05-03,Widespread cleptoparasite of the bee Andrena haemorrhoa
"Hymenoptera (Ants, Wasps & Bees):",Anthophora plumipes,Hairy-footed flower bee,2014-04-21,Common & widespread
"Hymenoptera (Ants, Wasps & Bees):",Bombus lapidarius,Red-tailed Bumble Bee,2014-04-21,Makes small underground nests
Coleoptera (beetles):,Hypera plantaginis,,2014-04-19,Feeds on Birds-foot Trefoil.  5 other Herts records since the war
Coleoptera (beetles):,Longitarsus dorsalis,Scarce Leaf Beetle,2014-04-19,Was Nationally Notable Nb. Feeds on Ragworts & Groundsels in dry gravelly grassland.
Coleoptera (beetles):,Adalia decempunctata,Ten-spot Ladybird,2014-04-17,Abundant on plants & trees
Diptera (Flies):,Trichonta melanura,,2014-01-18,UV. Not commonly recorded
Diptera (Flies):,Trichocera regelationis,Gnat,2014-01-14,UV
Diptera (Flies):,Scaptomyza pallida,,2014-01-12,UV
Diptera (Flies):,Trichocera hiemalis,Gnat,2014-01-10,UV
Diptera (Flies):,Copromyza similis,,2014-01-03,UV trap
Diptera (Flies):,Hebecnema fumosa,,2014-01-03,UV trap    NS NATIONALLY SCARCE
Diptera (Flies):,Trichocera saltator,Winter Gnat,2014-01-03,UV   Abundant everywhere in winter
Diptera (Flies):,Suillia pallida,,2014-01-02,UV
Diptera (Flies):,Trichocera annulata,Winter Gnat,2013-12-25,UV  Common
Diptera (Flies):,Phaonia subventus,,2013-12-20,UV
Diptera (Flies):,Culiseta annulata,,2013-12-18,UV
Diptera (Flies):,Heteromyza rotundicornis,,2013-12-11,"31, 2014 January 16th  all UV"
Diptera (Flies):,Opomyza florum,,2013-12-09,UV
Diptera (Flies):,Syntormon denticulatus,,2013-12-03,UV
Diptera (Flies):,Mycetophila ornata,,2013-11-17,December 18th  both UV
Diptera (Flies):,Tephrochlaemys flavipes,,2013-11-14,UV
Diptera (Flies):,Pseudolyciella stylata,,2013-11-06,UV
Diptera (Flies):,Molophilus griseus,,2013-11-01,UV
Diptera (Flies):,Tipula obsoleta,Cranefly,2013-10-30,UV   Frequent
Diptera (Flies):,Helina lasiopthalma,,2013-10-27,♀ in UV trap
Diptera (Flies):,Limonia nubeculosa,Cranefly,2013-10-27,UV.     Very common in woods
Diptera (Flies):,Phaonia tuguriorum,,2013-10-27,UV
Diptera (Flies):,Polietes domitor,,2013-10-27,UV
Diptera (Flies):,Pollenia angustigena,,2013-10-27,
Diptera (Flies):,Pollenia pediculata,,2013-10-27,
Diptera (Flies):,Rhamphomyia erythrophthalma,,2013-10-26,UV
Diptera (Flies):,Lonchoptera lutea,,2013-10-25,UV
Diptera (Flies):,Scaptomyza flava,,2013-10-25,UV
Diptera (Flies):,Sylvicola cinctus,,2013-10-25,UV
Diptera (Flies):,Calliphora vicina,a Blow-fly,2013-10-14,"22nd, 20"
Neuroptera (Lacewings & Snake flies):,Wesmaelius nervosus,,2013-10-12,
Diptera (Flies):,Paracraspedothrix montivaga,,2013-10-12,♂ UV
Diptera (Flies):,Platypeza consobrina,,2013-10-12,UV
Diptera (Flies):,Platypeza fasciata,,2013-10-12,UV
Diptera (Flies):,Meiosimyza rorida,,2013-10-11,UV.
Diptera (Flies):,Polietes lardarius,,2013-10-11,UV
Diptera (Flies):,Azelia zetterstedti,,2013-10-08,UV
Diptera (Flies):,Calliopum simillimum,,2013-10-08,"(2), 22nd, 27th (2), all UV"
Diptera (Flies):,Fannia pallitibia,,2013-10-08,"& 11th, both ♀ in UV trap"
Diptera (Flies):,Hilara litorea,,2013-10-08,U.V.
Diptera (Flies):,Stomoxis calcitrans,Stable fly,2013-10-08,UV
Diptera (Flies):,Suillia variegata,,2013-10-08,
Diptera (Flies):,Piezura graminicola,,2013-10-05,
Coleoptera (beetles):,Notiophilus biguttatus,Ground beetle,2013-10-05,Carniverous: preys on springtails & mites
Diptera (Flies):,Gaurax fascipes,,2013-10-04,♀ in UV trap
Diptera (Flies):,Scatopse notata,,2013-10-04,UV
"Hymenoptera (Ants, Wasps & Bees):",Selandria serva,a Sawfly,2013-08-13,Aug.
Diptera (Flies):,Eriothrix rufomaculata,,2013-08-12,Common.  Parasite of Noctuid moths
Diptera (Flies):,Lucilia richardsii,a Blow-fly,2013-08-12,Recorded 1979 at Leasey Bridge
Diptera (Flies):,Morellia aenescens,,2013-08-12,
Diptera (Flies):,Rhinophora lepida,,2013-08-12,
Diptera (Flies):,Sarcophaga carnaria,Sarcophagidae (a flesh fly),2013-08-12,
Diptera (Flies):,Sarcophaga haemorrhoa,Sarcophagidae (a flesh fly),2013-08-12,
Diptera (Flies):,Sphaerophoria taeniata,a Hoverfly,2013-08-12,Scarce in Herts.  Species of damp meadowland.
Diptera (Flies):,Chrysotus blepharosceles,,2013-08-11,
Diptera (Flies):,Coenosia tigrina,,2013-08-11,
Diptera (Flies):,Epicampocera succincta,,2013-08-11,♀
Diptera (Flies):,Eupeodes corollae,a Hoverfly,2013-08-11,"Common, often abundant"
Diptera (Flies):,Melanostoma mellinum,a Hover-fly,2013-08-11,"Very common, aphid feeder."
Diptera (Flies):,Palloptera muliebris,,2013-08-11,
Diptera (Flies):,Palloptera umbellatarum,,2013-08-11,
Diptera (Flies):,Sarcophaga incisolobata,Sarcophagidae (a flesh fly),2013-08-11,
Diptera (Flies):,Sphaerophoria scripta,a Hoverfly,2013-08-11,"Common, often abundant. Leasey Bridge 1979"
Diptera (Flies):,Trypetoptera punctulata,,2013-08-11,in conservatory
Coleoptera (beetles):,Ilybius ater,(Water beetle),2013-08-09,UV. Feeds on aquatic plants in ponds & ditches
Diptera (Flies):,Helina depuncta,,2013-08-04,in conservatory
Diptera (Flies):,Platycheirus albimanus,White-footed Hoverfly,2013-08-04,Common & widespread.  Leasey Bridge 1979
Diptera (Flies):,Sarcophaga nigriventris,Sarcophagidae (a flesh fly),2013-08-04,
Diptera (Flies):,Sarcophaga subvicina,Sarcophagidae (a flesh fly),2013-08-04,
Diptera (Flies):,Sarcophaga vicina,Sarcophagidae (a flesh fly),2013-08-04,NATIONALLY NEAR THREATENED.
Diptera (Flies):,Xylota sylvarum,a Hoverfly,2013-08-04,in conservatory. Declining Nationally.
Diptera (Flies):,Brachycoma devia,Sarcophagidae (a flesh fly),2013-08-03,
Diptera (Flies):,Cheilosia pagana,a Hoverfly,2013-08-03,Recorded 1979 at Leasey Bridge
Diptera (Flies):,Chrysotus gramineus,,2013-08-03,
Diptera (Flies):,Dolichopus wahlbergi,,2013-08-03,
Diptera (Flies):,Empis lutea,,2013-08-03,♂
Diptera (Flies):,Fannia polychaeta,,2013-08-03,Recorded 1979 at Leasey Bridge
Diptera (Flies):,Hydrotaea irritans,,2013-08-03,♂ in conservatory
Diptera (Flies):,Microchrysa polita,Black-horned Gem,2013-08-03,"Widespread, breeds in decaying organic matter"
Diptera (Flies):,Nowickia ferox,,2013-08-03,
Diptera (Flies):,Pachygaster atra,Dark-winged Black,2013-08-03,"Frequent, larvae breed in rotten elm etc."
Diptera (Flies):,Platycheirus aurolateralis,a Hoverfly,2013-08-03,
Diptera (Flies):,Sarcophaga anaces,Sarcophagidae (a flesh fly),2013-08-03,"40 or so species in the genus, all similar"
Diptera (Flies):,Sarcophaga variegata,Sarcophagidae (a flesh fly),2013-08-03,
Diptera (Flies):,Siphona geniculata,,2013-08-03,in conservatory
"Hymenoptera (Ants, Wasps & Bees):",Halictus tumulorum,Ground-nesting Bee,2013-08-03,August
Coleoptera (beetles):,Atomaria lewisi,,2013-08-03,
Diptera (Flies):,Dolichopus ungulatus,,2013-07-11,in conservatory
Diptera (Flies):,Empis aestiva,,2013-07-11,
Diptera (Flies):,Nephrotoma flavescens,Cranefly,2013-07-11,
Diptera (Flies):,Polietes aenescens,,2013-07-11,
Diptera (Flies):,Dolichopus trivialis,,2013-07-09,U.V.
Diptera (Flies):,Tipula scripta,Cranefly,2013-07-09,UV
Diptera (Flies):,Beris vallata,Common Orange Legionnaire,2013-07-07,"Common, larvae on wet leaves & moss"
Diptera (Flies):,Solva marginata,,2013-07-07,
Diptera (Flies):,Tricholauxania praeusta,,2013-07-07,♀ in Malaise trap
Diptera (Flies):,Sciapus platypterus,,2013-07-06,UV
Diptera (Flies):,Homoneura interstincta,,2013-07-03,Very rare. Seen in damp woodlands & marshes
Diptera (Flies):,Rhamphomyia longipes,,2013-07-03,UV
Diptera (Flies):,Cerodontha denticornis,,2013-06-30,2 females in conservatory
Diptera (Flies):,Chrysotus laesus,,2013-06-30,
Diptera (Flies):,Dicraeus vagans,,2013-06-30,Several
Diptera (Flies):,Empis scutellata,,2013-06-30,U.V.
Diptera (Flies):,Eristalis pertinax,a Hoverfly,2013-06-30,Recorded 1979 at Leasey Bridge
Diptera (Flies):,Minettia fasciata (=rivosa),,2013-06-30,
Diptera (Flies):,Pipiza noctiluca,a Hoverfly,2013-06-30,Widespread.
Diptera (Flies):,Platypalpus longiseta,a Dance Fly,2013-06-30,
Diptera (Flies):,Empis albinervis,,2013-06-29,
Diptera (Flies):,Fannia sociella,,2013-06-29,UV
Diptera (Flies):,Ferdinandea cuprea,a Hoverfly,2013-06-29,Widespread but sparse.
Diptera (Flies):,Meliscaeva auricollis,a Hover-fly,2013-06-29,Found near trees. Uncommon in Herts.  First recorded 1979
Diptera (Flies):,Pelatachina tibialis,,2013-06-26,
Diptera (Flies):,Sarcophaga crassimargo,Sarcophagidae (a flesh fly),2013-06-26,
"Hymenoptera (Ants, Wasps & Bees):",Bombus pratorum,Early Humble-bee,2013-06-26,"1st seen 1995 May 22nd, common in woods."
Neuroptera (Lacewings & Snake flies):,Chrysopa perla,,2013-06-25,Widespread & common in scrubby grassland.
Mecoptera (Scorpion Flies),Panorpa communis,,2013-06-25,"Feed on dead insects, often among nettles"
Diptera (Flies):,Coenosia testacea,,2013-06-25,
Diptera (Flies):,Helina evecta,,2013-06-25,
Diptera (Flies):,Empis livida,,2013-06-24,"(UV), August 3rd"
Diptera (Flies):,Fannia armata,,2013-06-24,
Diptera (Flies):,Neurigona quadrifasciata,,2013-06-24,UV
Diptera (Flies):,Phaonia errans,,2013-06-24,
Diptera (Flies):,Platypalpus excavatus,a Dance Fly,2013-06-24,Nationally Scarce
Diptera (Flies):,Rhamphomyia tarsata,,2013-06-24,
Diptera (Flies):,Beris chalybata,Murky-legged Black Legionnaire,2013-06-23,Widespread & common.  Feeds on moss etc
Neuroptera (Lacewings & Snake flies):,Phaeostigma notata,Snake Fly,2013-06-21,"Breeds in dead stumps, especially oak"
Diptera (Flies):,Empis tesselata,,2013-06-19,♀ in conservatory
Neuroptera (Lacewings & Snake flies):,Micromus paganus,,2013-06-14,"Common, prefers elder bushes"
Diptera (Flies):,Fannia similis,,2013-06-13,
Coleoptera (beetles):,Pyrochroa serraticornis,Red-headed Cardinal beetle,2013-06-12,On nettles or flowers at the edge of woodland
Diptera (Flies):,Coenosia agromyzina,,2013-06-09,
Diptera (Flies):,Fannia canicularis,Lesser House Fly,2013-06-09,
Diptera (Flies):,Minettia longipennis,,2013-06-09,
Diptera (Flies):,Eumerus funeralis,Lesser Bulb Fly (a Hoverfly),2013-06-08,"Declining Nationally.  Seen 1979, Leasey Bridge"
Diptera (Flies):,Heliophilus hybridus,a Hoverfly,2013-06-08,
"Hymenoptera (Ants, Wasps & Bees):",Nomada marshamella,Marsham's Nomad Bee,2013-05-07,"Very common, a cleptoparasite of Andrena carantonica"
Psocoptera (Psocids):,Mesopsocidae spp.:,type of Barkfly,2013-01-03,UV
Diptera (Flies):,Bolitophila cinerea,,2012-12-17,"UV, 2014 January 10th UV"
Diptera (Flies):,Copromyza equina,,2012-12-17,"2013 Oct 26, Nov 18, Dec 20, 29, 2014 January 1, 14th all UV"
Diptera (Flies):,Copromyza nigrina,,2012-12-17,"(2), 2013 Dec 18(2),29(2) 2014 January 8,10(2), 12,14(3),16  all UV"
Coleoptera (beetles):,Aphidecta obliterata,Larch Ladybird,2012-11-12,Found on conifers.
Coleoptera (beetles):,Stictoleptura scutellata,Large black longhorn beetle,2012-08-08,Feeds on rotten wood. NATIONALLY NOTABLE Na
Odonata (dragonflies & Damselflies):,Ischnura elegans,Blue-tailed Damselfly,2012-06-10,"Very common, breeds in still & flowing water"
Coleoptera (beetles):,Longitarsus tabidus,,2011-08-15,"NATIONALLY SCARCE (was Nb). Feeds on Mullein, Verbascum"
Coleoptera (beetles):,Chilocorus renipustulatus,Kidney-spot Ladybird,2011-07-30,Habitat deciduous trees
"Hymenoptera (Ants, Wasps & Bees):",Argogorytes mystaceus,Field Digger Wasp,2011-07-03,Widespread in deciduous wood edges
Coleoptera (beetles):,Tetrops praeustus,Plum Longhorn beetle,2011-06-10,Develops in dry branches of deciduous trees
"Hymenoptera (Ants, Wasps & Bees):",Dolichovespula saxonica,Saxon Wasp,2011-05-27,"Appeared in UK 1987. Spreading. Nests in branches, rafters."
Coleoptera (beetles):,Clytus arietis,Wasp Beetle,2011-05-02,
Coleoptera (beetles):,Geotrupes spiniger,,2010-07-25,Larvae reared on dung in underground tunnels.
Coleoptera (beetles):,Amphimallon solstitiale,Summer Chafer,2010-07-10,July
Coleoptera (beetles):,Chlaenius vestitus,(Ground Beetle),2010-06-24,Local. Lives in mud & clay cracks near water.  One of only 12 Herts records
Neuroptera (Lacewings & Snake flies):,Chrysoperla carnea,Winter Lacewing,2009-10-25,Larvae feed on aphids
Hemiptera (Bugs):,Deraeocoris ruber,a mirid bug,2009-09-27,Feeds on aphids and other small insects.
Diptera (Flies):,Tipula lateralis,Cranefly,2009-08-09,Common
Hemiptera (Bugs):,Miris striatus,,2009-05-27,(photo)
Cicadellidae (Leafhoppers),Eupteryx aurata,Potato Leafhopper,2009-05-26,(photo)
"Hymenoptera (Ants, Wasps & Bees):",Ancistrocerus parietinus,Wall Mason Wasp,2009-05-21,Larvae feed on caterpillars.
Coleoptera (beetles):,Philonthus decorus,,2009-05-10,In sunshine
Diptera (Flies):,Epiphragma ocellaris,Cranefly,2009-05-09,Frequent in wet woods
"Hymenoptera (Ants, Wasps & Bees):",Bombus vestalis,Vestal Cuckoo Bee,2009-05-01,(photo).  Abundant on raspberry flowers 1995 June 24th
Coleoptera (beetles):,Lilioceris lilii,Lily Leaf beetle,2009-04-26,"On Fritillaria.  Pest of garden lilies, spreading"
Coleoptera (beetles):,Colymbetes fuscus,Water Beetle,2008-07-27,
Coleoptera (beetles):,Curculio nucum,Hazelnut weevil,2008-05-31,Seen on butterfly transect
Diptera (Flies):,Limonia nigropunctata,Cranefly,2008-05-15,"Local, south of Notts only"
Coleoptera (beetles):,Agriotes pallidus,(click beetle),2008-05-13,
Coleoptera (beetles):,Glischrochilus hortensis,Sap beetle,2008-05-10,
Diptera (Flies):,Tipula vittata,Cranefly,2008-05-07,UV.  Aquatic larvae. Adults in mud by streams
Neuroptera (Lacewings & Snake flies):,Conwentzia psociformis,,2008-05-04,
Coleoptera (beetles):,Harpalus rufibarbis,,2007-09-03,
Coleoptera (beetles):,Ophonus rufibarbis,,2007-09-03,
Coleoptera (beetles):,Antherophagus pallens,,2007-06-05,Local in Hertfordshire; Flower feeder.
"Hymenoptera (Ants, Wasps & Bees):",Andrena helvola,a Mining bee,2007-05-06,Widely distributed in deciduous woods.
Coleoptera (beetles):,Timarcha tenebricosa,Bloody-nosed beetle,2006-09-16,photo of larva by T. Chapman.  Feeds on bedstraw
Thysanura (Bristletails):,Lepisma saccharina,Silverfish,2006-08-28,
Neuroptera (Lacewings & Snake flies):,Hemerobius pini,,2006-08-16,"Widespread but local, near pines"
Neuroptera (Lacewings & Snake flies):,Sisyra fuscata,Sponge fly,2006-07-22,"Widely distributed, near ponds & in shade"
Diptera (Flies):,Trimicra pilipes,Cranefly,2006-07-22,Breeds in mud on pond edges.  Rarely seen
Coleoptera (beetles):,Anthrenus museorum,Museum beetle,2006-07-22,
Diptera (Flies):,Austrolimnophila ochracea,,2006-07-17,
Coleoptera (beetles):,Byturus ochraceus,,2006-07-02,Common on flowers
Coleoptera (beetles):,Trox scaber,,2006-06-18,HERTS RARE 1st post-war Herts. records. Dung feeder
Coleoptera (beetles):,Anaspis frontalis,(Tumbling flower beetle),2006-06-10,
Diptera (Flies):,Nephrotoma appendiculata,Cranefly,2006-05-21,
Diptera (Flies):,Dicranomyia modesta,Cranefly,2005-10-31,Found in wet fields.
Diptera (Flies):,Bifronsina bifrons,,2005-10-30,UV
Diptera (Flies):,Cordyla crassicornis,,2005-10-30,Malaise
Diptera (Flies):,Ischiolepta pusilla,,2005-10-30,♂ in Malaise trap
Diptera (Flies):,Philygria flavipes,,2005-10-30,in Malaise trap
Diptera (Flies):,Pullimosina heteroneura,,2005-10-30,♀ in Malaise trap
Diptera (Flies):,Spelobia palmata,,2005-10-30,♂ in Malaise trap
Diptera (Flies):,Sphaerocera monilis,,2005-10-30,♀ in Malaise trap
Diptera (Flies):,Sytomaxys calcitrans,,2005-10-30,2♀ in Malaise trap
Diptera (Flies):,Rhipidia maculata,,2005-10-29,Feeds on dead wood.  Adult uncommon
Ephemoptera (Mayflies):,Centroptilum pennulatum,,2005-10-27,U.V. trap
Diptera (Flies):,Phylidorea ferruginea,,2005-10-27,Pond edges
Diptera (Flies):,Agromyza pseudoreptans,,2005-10-19,
Diptera (Flies):,Agromyza reptans,,2005-10-10,Malaise trap
Diptera (Flies):,Dryomyza anilis,,2005-10-09,
Diptera (Flies):,Calliopum aeneum,,2005-10-08,malaise
Diptera (Flies):,Cordyla fissa,,2005-10-08,-9th Malaise
Diptera (Flies):,Helina impuncta,,2005-10-08,-9th 2♀ in Malaise
Diptera (Flies):,Leptocera nigra,,2005-10-08,-9th  ♂ in Malaise trap
Diptera (Flies):,Phaonia angelicae,,2005-10-08,-9th   ♀ in Malaise trap
Diptera (Flies):,Zygomyia pseudohumeralis,,2005-10-08,-9th ♂ in Malaise trap
Diptera (Flies):,Agromyza anthracina,,2005-10-02,U.V.
Diptera (Flies):,Fannia parva,,2005-10-02,♀ in Malaise trap
Diptera (Flies):,Helina reversio,,2005-10-02,♀ in Malaise trap
Diptera (Flies):,Opomyza germinationis,,2005-10-02,"(UV), 2005 Oct 8-9th  2♀ in Malaise trap"
Diptera (Flies):,Phaonia halterata,,2005-10-02,♂ in Malaise trap
Diptera (Flies):,Phryxe nemea,,2005-10-02,Very common butterfly parasite
Diptera (Flies):,Sepsis fulgens,,2005-10-02,2♀ in Malaise trap
Coleoptera (beetles):,Brachypterus urticae,,2005-10-02,
Coleoptera (beetles):,Longitarsus ballotae,,2005-10-02,005 October
Diptera (Flies):,Asteia amoena,,2005-09-28,malaise
Diptera (Flies):,Camarota curvipennis,,2005-09-28,malaise
Diptera (Flies):,Conioscinella frontella,,2005-09-28,malaise
Diptera (Flies):,Dolichopus festivus,,2005-09-28,5 in malaise trap
Diptera (Flies):,Drapetis ephippiata,Dance Fly,2005-09-28,3 in Malaise trap
Diptera (Flies):,Drosophila subobscura,,2005-09-28,1 female in Malaise trap
Diptera (Flies):,Fannia serena,,2005-09-28,♀ in Malaise trap
Diptera (Flies):,Medetera pallipes,,2005-09-28,♂ in Malaise trap
Diptera (Flies):,Medetera saxatilis,,2005-09-28,
Diptera (Flies):,Melanomya nana,,2005-09-28,2♀ in Malaise trap
Diptera (Flies):,Oscinella maura,,2005-09-28,in Malaise trap
Diptera (Flies):,Pachygaster leachii,Yellow-legged Black,2005-09-28,Fairly common.  Breeds in hogweed etc.
Diptera (Flies):,Phaonia rufipalpis,,2005-09-28,2♀ in Malaise trap
Diptera (Flies):,Pseudacteon formicarum,,2005-09-28,♀ in Malaise trap
Diptera (Flies):,Pullimosina vulgesta,,2005-09-28,3♀ in Malaise trap
Diptera (Flies):,Voria ruralis,  Tachinidae,2005-09-28,"♂, Malaise trap. Parasitoid of caterpillars"
Coleoptera (beetles):,Monotoma picipes,,2005-09-25,in house
Hemiptera (Bugs):,Sigara dorsalis,,2005-08-20,"Ubiquitous, especially in rivers."
Neuroptera (Lacewings & Snake flies):,Chrysoperla lucasina,,2005-08-12,"Recent discovery, probably widespread."
Coleoptera (beetles):,Stenagostus rhombeus,(click beetle),2005-08-11,Not common. Restricted to old grasslands and heaths
Coleoptera (beetles):,Ilybius fuliginosus,(Water beetle),2005-08-10,Species of stagnant & running water
Neuroptera (Lacewings & Snake flies):,Dichochrysa flavifrons,,2005-08-09,"Prefers coniferous woods, widespread"
Diptera (Flies):,Geomyza tripunctata,,2005-08-07,Malaise trap
Diptera (Flies):,Melinda viridicyanea,,2005-08-07,♀ in Malaise trap
Diptera (Flies):,Mydaea urbana,,2005-08-07,♀ in Malaise trap
Diptera (Flies):,Neoascia podagrica,a Hoverfly,2005-08-07,Declining Nationally. Recorded 1979 at Leasey Bridge
Diptera (Flies):,Ravinia pernix,Flesh Fly,2005-08-07,"Breeds in animal faeces, dead snails"
Diptera (Flies):,Sarcophaga melanura,Sarcophagidae (a flesh fly),2005-08-07,
Diptera (Flies):,Trimerina madizens,,2005-08-07,♀ in Malaise trap
"Hymenoptera (Ants, Wasps & Bees):",Ametastegia pallipes,Violet Sawfly,2005-08-07,"♀. Larva feeds on Violet, Common"
"Hymenoptera (Ants, Wasps & Bees):",Lasioglossum morio,a Mining bee,2005-08-07,Usually very common in a wide range of habitats
"Hymenoptera (Ants, Wasps & Bees):",Passaloecus gracilis,a Digger Wasp,2005-08-07,Found in gardens & many habitats. Eats Aphids
"Hymenoptera (Ants, Wasps & Bees):",Trypoxylon attenuatum,Slender Borer,2005-08-07,"Nests in bramble, feeds on small spiders"
Coleoptera (beetles):,Phyllotreta undulata,Lesser striped flea beetle,2005-08-07,Generally abundant.  Jumps long distances
Neuroptera (Lacewings & Snake flies):,Dichochrysa prasina,,2005-08-03,Widespread and common
Diptera (Flies):,Chrysopilus asiliformis,Little Snipefly,2005-08-03,"Frequent, suns itself on leaves"
Diptera (Flies):,Eumerus tuberculatus,Lesser Bulb Fly (a Hoverfly),2005-08-03,Recorded 1979 at Leasey Bridge
Diptera (Flies):,Platycheirus clypeatus,a Hoverfly,2005-08-03,Very common & widespread.  Lush grassland
Coleoptera (beetles):,Ischnomera cyanea,,2005-08-03,Nationally Notable Nb. Species of old woodland
Coleoptera (beetles):,Mordellistena neuwaldeggiana,,2005-08-03,RDBK species. Species of old woodland? found on herbage & flowers.
Coleoptera (beetles):,Tychius junceus,,2005-08-03,HERTS RARE. Feeds on clover; one of 7 Herts records
Diptera (Flies):,Allopiophila luteata,,2005-08-02,005 August
Diptera (Flies):,Anthomyia imbrida,,2005-08-02,005 August
Diptera (Flies):,Aphanotrigonum trilineatum,,2005-08-02,005 August
Diptera (Flies):,Bessa selecta,,2005-08-02,005 August
Diptera (Flies):,Campichoeta obscuripennis,,2005-08-02,005 August
Diptera (Flies):,Cerodontha atra,,2005-08-02,005 August
Diptera (Flies):,Dinera grisescens,,2005-08-02,005 August
Diptera (Flies):,Discomyza incurva,,2005-08-02,005 August
